sample_id,medicine,batch_id,manufacturer,measurement_id,ch450,ch500,ch550,ch570,ch600,ch650,reference_medicine,anomaly_score,genuine_threshold,suspicious_threshold,anomaly_status
C009,2C-B,B099,ASD_pipeline_test,1,0.8613724857142857,0.7315941333333335,0.6549828761904761,0.6847806428571429,0.7622856095238096,0.8187947571428571,2C-B,3.049411495215892,6.0000000001466205,6.000000000193291,GENUINE
F002,FMA,B106,ASD_pipeline_test,1,0.8555010523809526,0.8148428333333333,0.7465600571428572,0.6724982095238096,0.5648401000000001,0.5050059428571428,FMA,4.465129372146553,2.0000000000000004,2.0000000000000004,COUNTERFEIT
M008,MDMA,B112,ASD_pipeline_test,1,0.7924506476190477,0.8741493380952382,0.8588717809523813,0.7500539047619047,0.5161031857142857,0.4277927714285714,MDMA,33.61870894699901,23.71100093157033,25.07760406139704,COUNTERFEIT
M009,MDMA,B113,ASD_pipeline_test,1,0.5593646000000001,0.5078135142857143,0.4720676666666666,0.4599186047619047,0.4442595809523808,0.4279307142857143,MDMA,2.131320490577935,23.71100093157033,25.07760406139704,GENUINE
M011,MDMA,B115,ASD_pipeline_test,1,0.8854468380952383,0.8379096857142857,0.3779027857142857,0.3323678571428571,0.3114238095238095,0.2999021380952381,MDMA,5119.508157860968,23.71100093157033,25.07760406139704,COUNTERFEIT
M014,MDMA,B118,ASD_pipeline_test,1,0.5233938904761904,0.7301211571428571,0.8516218428571429,0.7162651428571427,0.260211638095238,0.2497713285714285,MDMA,54.60935637903725,23.71100093157033,25.07760406139704,COUNTERFEIT
M015,MDMA,B119,ASD_pipeline_test,1,0.646158380952381,0.6465234285714285,0.6500816095238094,0.6425241285714286,0.6245848285714286,0.6191353952380952,MDMA,1.5583147408529803,23.71100093157033,25.07760406139704,GENUINE
M020,MDMA,B124,ASD_pipeline_test,1,0.5616449523809524,0.7149506761904761,0.7456941238095238,0.6500158333333333,0.3840873666666666,0.3523462761904762,MDMA,14.413197481984069,23.71100093157033,25.07760406139704,GENUINE
M023,MDMA,B127,ASD_pipeline_test,1,0.7632101761904762,0.7884973047619047,0.8740064571428573,0.7685521190476191,0.3285341809523809,0.2919716952380952,MDMA,11.308851766480636,23.71100093157033,25.07760406139704,GENUINE
M026,MDMA,B130,ASD_pipeline_test,1,0.6703731714285714,0.587297438095238,0.608862738095238,0.3933375809523809,0.1464584666666666,0.230924019047619,MDMA,59.05622976221661,23.71100093157033,25.07760406139704,COUNTERFEIT
M028,MDMA,B132,ASD_pipeline_test,1,0.9426846142857144,0.5864271761904762,0.3842425095238095,0.4054756952380952,0.4070854952380953,0.4050540904761905,MDMA,578.4170402619854,23.71100093157033,25.07760406139704,COUNTERFEIT
M031,MDMA,B135,ASD_pipeline_test,1,0.9385975,0.591273319047619,0.4792391333333333,0.573366238095238,0.7328001476190475,0.8656419476190477,MDMA,152.629189934417,23.71100093157033,25.07760406139704,COUNTERFEIT
M039,MDMA,B143,ASD_pipeline_test,1,0.6178166952380952,0.7009205333333333,0.7339297809523808,0.6503285285714286,0.4328661857142856,0.4019192666666667,MDMA,15.311872874912856,23.71100093157033,25.07760406139704,GENUINE
M040,MDMA,B144,ASD_pipeline_test,1,0.7574621380952381,0.4144054952380953,0.2716898952380953,0.2839755047619047,0.2883551428571428,0.297093619047619,MDMA,674.0714324551678,23.71100093157033,25.07760406139704,COUNTERFEIT
C081,cocaine,B146,ASD_pipeline_test,1,0.2485494380952381,0.2205982476190476,0.2035891809523809,0.1986956428571428,0.1932342952380952,0.1870796095238095,cocaine,1578.1154282465577,24.96373462924366,34.68823550480694,COUNTERFEIT
