sample_id,medicine,batch_id,manufacturer,measurement_id,ch450,ch500,ch550,ch570,ch600,ch650
C086,2C-B isomer,B097,ASD_public_dataset,1,0.8669104714285712,0.949924342857143,0.9691659904761905,0.8612900904761903,0.5790057999999999,0.4818523999999999
F001,FA,B098,ASD_public_dataset,1,0.6802457000000001,0.879695861904762,0.9992697190476192,0.8275315904761904,0.3327042190476191,0.3122837238095238
F002,FA,B099,ASD_public_dataset,1,0.9066981619047618,0.8786822285714286,0.997362961904762,0.7972002142857144,0.2995600809523809,0.3037953047619047
M006,MDMA,B100,ASD_public_dataset,1,0.6598189666666668,0.8777108571428571,0.978663142857143,0.9309023476190476,0.7292108857142857,0.6559771285714285
C087,2C-B,B101,ASD_public_dataset,1,0.9421970380952382,0.8190694523809524,0.7453336333333332,0.7761448428571429,0.8538583285714286,0.9106907857142856
C088,2C-B,B102,ASD_public_dataset,1,0.9502066619047618,0.8126366428571428,0.7326586333333334,0.7651053952380954,0.8495664857142857,0.9106913
F003,4-FMA,B103,ASD_public_dataset,1,0.8596231047619047,0.4662928238095238,0.2278533571428571,0.2619809809523809,0.2837861285714285,0.2932957523809524
C089,2C-B isomer,B104,ASD_public_dataset,1,0.9155392523809522,0.9942987333333332,1.0141757666666666,0.9062091714285714,0.636167119047619,0.550041319047619
C090,2C-B,B105,ASD_public_dataset,1,1.188318619047619,0.7570335809523808,0.4772490380952381,0.5166362761904763,0.5400108190476189,0.5494256095238095
P004,pentylone,B106,ASD_public_dataset,1,1.028063761904762,1.0162071428571426,1.0464512666666663,0.832931480952381,0.5238259095238095,0.5997349428571429
C091,2C-B,B107,ASD_public_dataset,1,0.9956189047619048,0.6570025523809523,0.6383297095238095,0.7081882380952381,0.8123159952380952,0.8756069000000001
F004,FMA,B108,ASD_public_dataset,1,0.5087544142857143,0.4949052333333333,0.4879262,0.4862059142857142,0.4833828619047619,0.4784469285714285
C092,2C-B,B109,ASD_public_dataset,1,0.4994232523809525,0.5737479095238094,0.6060164047619047,0.5272355952380953,0.3503307761904761,0.371197780952381
C093,2C-B,B110,ASD_public_dataset,1,0.8613724857142857,0.7315941333333335,0.6549828761904761,0.6847806428571429,0.7622856095238096,0.8187947571428571
M007,MDMA,B111,ASD_public_dataset,1,0.8559974571428571,0.8269402047619048,0.787426180952381,0.7502725238095237,0.7015025190476191,0.6811634333333333
C094,2C-B,B112,ASD_public_dataset,1,1.1544074285714283,0.7193658238095239,0.4170407523809524,0.4588448476190477,0.484241980952381,0.4955053523809524
C095,2C-B,B113,ASD_public_dataset,1,0.8666013428571427,0.7343802333333331,0.6578145714285714,0.6886679714285714,0.7692147761904762,0.827499719047619
C096,2C-B isomer,B114,ASD_public_dataset,1,0.7987084238095238,0.8750666,0.8905265380952382,0.7881500571428571,0.5340583047619047,0.4479232095238095
F005,FA,B115,ASD_public_dataset,1,0.9095343333333332,0.8862564523809524,0.993039980952381,0.8183241333333333,0.3554594619047619,0.3562235904761904
F006,FA,B116,ASD_public_dataset,1,0.6643146190476189,0.8626561095238094,0.985964980952381,0.827069438095238,0.3307387476190476,0.3050654285714285
F007,FMA,B117,ASD_public_dataset,1,0.8555010523809526,0.8148428333333333,0.7465600571428572,0.6724982095238096,0.5648401000000001,0.5050059428571428
F008,4-FA,B118,ASD_public_dataset,1,0.2750049952380952,0.2496571095238094,0.1839964238095238,0.1639465523809523,0.1426930523809523,0.1215716095238095
C097,2C-B-fly,B119,ASD_public_dataset,1,0.7411869571428571,0.8450664285714286,0.934672676190476,0.8224952571428572,0.5179234714285714,0.542912380952381
